72,124
74,154
80,181
91,213
113,236
136,253
155,257
177,251
200,229
216,203
223,175
227,150
227,122
179,50
142,42
106,49
121,100
106,100
94,109
107,109
120,109
134,108
164,109
178,102
193,103
206,113
193,113
178,111
185,116
114,115
126,124
120,120
114,118
108,120
102,123
108,127
114,128
120,127
113,122
187,123
173,125
179,121
185,119
191,121
197,125
191,128
185,130
179,128
161,155
150,155
138,155
139,176
150,171
162,176
170,167
166,179
151,182
135,178
130,167
132,207
138,201
146,198
152,200
158,198
165,201
172,208
162,206
152,205
142,205
142,207
152,209
162,207
168,213
161,216
153,217
144,216
137,213
0,0
0,299
299,0
299,299
