67,126
68,157
72,183
80,209
96,233
118,251
140,257
166,253
197,237
220,212
228,183
231,156
232,125
185,49
147,42
109,50
111,106
98,106
85,112
98,114
110,114
124,114
158,113
172,105
188,105
202,112
187,114
173,113
180,118
106,118
119,129
112,123
106,121
100,123
93,127
99,131
106,132
112,131
107,126
182,125
167,128
173,123
180,120
187,122
193,126
187,130
180,132
173,131
152,162
139,162
126,162
125,185
137,180
153,184
165,177
159,185
139,191
121,186
115,177
114,210
123,205
132,204
139,204
146,204
158,204
171,209
153,209
139,210
128,210
127,209
139,211
153,209
161,215
151,218
140,219
129,219
120,216
0,0
0,299
299,0
299,299
